Company,GICS_Sector
A,Health Care
AAON,Industrials
AAPL,Information Technology
ABCB,Financials
ABT,Health Care
ACIW,Information Technology
ACRS,Health Care
ACTG,Financials
ADBE,Information Technology
ADC,Real Estate
ADM,Consumer Staples
AEE,Utilities
AEO,Consumer Discretionary
AEP,Utilities
AFG,Financials
AFL,Financials
AGCO,Industrials
AGM,Financials
AGO,Financials
AGX,Industrials
AHH,Real Estate
AHT,Real Estate
AIN,Industrials
AIT,Industrials
AIV,Real Estate
AJG,Financials
AKAM,Information Technology
AKR,Real Estate
AL,Industrials
ALB,Materials
ALCO,Consumer Staples
ALE,Utilities
ALEX,Real Estate
ALGN,Health Care
ALK,Industrials
ALL,Financials
ALNY,Health Care
ALSN,Industrials
ALX,Real Estate
AMBA,Information Technology
AMP,Financials
AMPH,Health Care
AMRC,Industrials
AMSF,Financials
AMWD,Industrials
AMZN,Consumer Discretionary
AN,Consumer Discretionary
ANDE,Consumer Staples
ANF,Consumer Discretionary
ANIK,Health Care
AON,Financials
AP,Materials
APAM,Financials
APD,Materials
APLE,Real Estate
APPF,Information Technology
AQMS,Industrials
ARDX,Health Care
AROC,Energy
AROW,Financials
ASGN,Information Technology
ATGE,Consumer Discretionary
ATKR,Industrials
ATLO,Financials
ATRO,Industrials
AVB,Real Estate
AVT,Information Technology
AVXL,Health Care
AVY,Materials
AWK,Utilities
AWR,Utilities
AXGN,Health Care
AXON,Industrials
AXP,Financials
AXTA,Materials
AXTI,Information Technology
AZO,Consumer Discretionary
BA,Industrials
BAC,Financials
BAH,Industrials
BANF,Financials
BANR,Financials
BAX,Health Care
BBY,Consumer Discretionary
BCPC,Materials
BCRX,Health Care
BDC,Information Technology
BDN,Real Estate
BFAM,Consumer Discretionary
BFIN,Financials
BFS,Real Estate
BG,Consumer Staples
BHR,Real Estate
BIIB,Health Care
BJRI,Consumer Discretionary
BK,Financials
BKE,Consumer Discretionary
BKH,Utilities
BLBD,Industrials
BLDR,Industrials
BLK,Financials
BMI,Information Technology
BMY,Health Care
BOKF,Financials
BOOM,Energy
BOOT,Consumer Discretionary
BPMC,Health Care
BR,Industrials
BRKL,Financials
BRX,Real Estate
BSRR,Financials
BSX,Health Care
BTU,Energy
BURL,Consumer Discretionary
BUSE,Financials
BW,Industrials
BWA,Consumer Discretionary
BWFG,Financials
BWXT,Industrials
BXP,Real Estate
BZH,Consumer Discretionary
CAC,Financials
CACC,Financials
CAL,Consumer Discretionary
CALA,Health Care
CALM,Consumer Staples
CAMP,Health Care
CASH,Financials
CATO,Consumer Discretionary
CATY,Financials
CB,Financials
CBL,Real Estate
CBRE,Real Estate
CBSH,Financials
CBU,Financials
CBZ,Industrials
CCBG,Financials
CCI,Real Estate
CCK,Materials
CCL,Consumer Discretionary
CCNE,Financials
CCO,Communication Services
CCOI,Communication Services
CDE,Materials
CDNS,Information Technology
CDW,Information Technology
CENT,Consumer Staples
CENX,Materials
CEVA,Information Technology
CF,Materials
CFFI,Financials
CFG,Financials
CFR,Financials
CGNX,Information Technology
CHCO,Financials
CHD,Consumer Staples
CHH,Consumer Discretionary
CHMI,Financials
CHRS,Health Care
CIM,Financials
CINF,Financials
CIO,Real Estate
CIVB,Financials
CIVI,Energy
CIX,Industrials
CL,Consumer Staples
CLDX,Health Care
CLFD,Information Technology
CLH,Industrials
CLW,Materials
CLX,Consumer Staples
CMA,Financials
CMC,Materials
CMCSA,Communication Services
CME,Financials
CMP,Materials
CMTL,Information Technology
CNA,Financials
CNC,Health Care
CNK,Communication Services
CNOB,Financials
COF,Financials
COHR,Information Technology
CORT,Health Care
CPB,Consumer Staples
CPF,Financials
CPK,Utilities
CPRT,Industrials
CPRX,Health Care
CPT,Real Estate
CRBP,Health Care
CRI,Consumer Discretionary
CRIS,Health Care
CRM,Information Technology
CRMT,Consumer Discretionary
CROX,Consumer Discretionary
CRS,Materials
CRUS,Information Technology
CRVL,Health Care
CSCO,Information Technology
CSGP,Real Estate
CSL,Industrials
CSV,Consumer Discretionary
CTAS,Industrials
CTRN,Consumer Discretionary
CTSH,Information Technology
CUBI,Financials
CVBF,Financials
CVCO,Consumer Discretionary
CVLT,Information Technology
CVS,Health Care
CVX,Energy
CW,Industrials
CWCO,Utilities
CWT,Utilities
CYH,Health Care
DAN,Consumer Discretionary
DAR,Consumer Staples
DBD,Information Technology
DCI,Industrials
DCO,Industrials
DCOM,Financials
DDS,Consumer Discretionary
DE,Industrials
DEA,Real Estate
DEI,Real Estate
DGICA,Financials
DGII,Information Technology
DGX,Health Care
DHI,Consumer Discretionary
DHR,Health Care
DIOD,Information Technology
DKS,Consumer Discretionary
DLB,Information Technology
DLR,Real Estate
DNOW,Industrials
DORM,Consumer Discretionary
DOV,Industrials
DTE,Utilities
DUK,Utilities
DVA,Health Care
DVAX,Health Care
DX,Financials
DXCM,Health Care
DXPE,Industrials
EARN,Financials
EBTC,Financials
ECL,Materials
EDIT,Health Care
EEFT,Financials
EFX,Industrials
EGBN,Financials
EGP,Real Estate
EHTH,Financials
EIG,Financials
ELS,Real Estate
EME,Industrials
EML,Industrials
ENR,Consumer Staples
ENSG,Health Care
ENVA,Financials
EPAM,Information Technology
EPM,Energy
EPR,Real Estate
EQBK,Financials
EQC,Real Estate
EQT,Energy
ERIE,Financials
ERII,Industrials
ES,Utilities
ESE,Industrials
ESPR,Health Care
ESS,Real Estate
ESSA,Financials
ETN,Industrials
ETR,Utilities
EVH,Health Care
EVRI,Consumer Discretionary
EVTC,Financials
EW,Health Care
EXAS,Health Care
EXC,Utilities
EXP,Materials
EXPD,Industrials
EXPE,Consumer Discretionary
EXPO,Industrials
EXR,Real Estate
FAF,Financials
FARM,Consumer Staples
FARO,Information Technology
FAST,Industrials
FATE,Health Care
FBNC,Financials
FCN,Industrials
FDP,Consumer Staples
FELE,Industrials
FET,Energy
FF,Energy
FFIN,Financials
FFIV,Information Technology
FGBI,Financials
FIBK,Financials
FICO,Information Technology
FISI,Financials
FLNT,Communication Services
FLO,Consumer Staples
FLXS,Consumer Discretionary
FMAO,Financials
FMC,Materials
FN,Information Technology
FNB,Financials
FNF,Financials
FPI,Real Estate
FR,Real Estate
FRME,Financials
FSP,Real Estate
FSS,Industrials
FTNT,Information Technology
FUL,Materials
FULT,Financials
FWRD,Industrials
G,Industrials
GABC,Financials
GAIA,Communication Services
GBCI,Financials
GCBC,Financials
GD,Industrials
GDDY,Information Technology
GDEN,Consumer Discretionary
GDOT,Financials
GEF,Materials
GEO,Industrials
GEOS,Energy
GES,Consumer Discretionary
GGG,Industrials
GHM,Industrials
GILD,Health Care
GLPI,Real Estate
GLW,Information Technology
GM,Consumer Discretionary
GME,Consumer Discretionary
GMED,Health Care
GNTX,Consumer Discretionary
GOGO,Communication Services
GOOD,Real Estate
GOOGL,Communication Services
GPRE,Energy
GRMN,Consumer Discretionary
GRPN,Consumer Discretionary
GS,Financials
GSAT,Communication Services
GT,Consumer Discretionary
GTLS,Industrials
GTN,Communication Services
GTY,Real Estate
H,Consumer Discretionary
HAL,Energy
HBAN,Financials
HCA,Health Care
HCKT,Information Technology
HCSG,Industrials
HD,Consumer Discretionary
HDSN,Industrials
HEI,Industrials
HI,Industrials
HLI,Financials
HLT,Consumer Discretionary
HMN,Financials
HNRG,Energy
HON,Industrials
HOV,Consumer Discretionary
HPQ,Information Technology
HQY,Health Care
HRTX,Health Care
HST,Real Estate
HSY,Consumer Staples
HUBG,Industrials
HUM,Health Care
HVT,Consumer Discretionary
HWC,Financials
IBM,Information Technology
IBP,Consumer Discretionary
ICE,Financials
ICFI,Industrials
